threshold,acceptance_rate,correct_acceptance_rate,false_acceptance_rate,fallback_rate,precision_when_accepted,correct_count,false_count,fallback_count
0.2,0.9906,0.9106,0.08,0.0094,0.9192,387,34,4
0.25,0.9718,0.9035,0.0682,0.0282,0.9298,384,29,12
0.3,0.9553,0.8894,0.0659,0.0447,0.931,378,28,19
0.35,0.9318,0.8776,0.0541,0.0682,0.9419,373,23,29
0.4,0.8871,0.8447,0.0424,0.1129,0.9523,359,18,48
0.45,0.8588,0.8259,0.0329,0.1412,0.9616,351,14,60
0.5,0.8,0.7694,0.0306,0.2,0.9618,327,13,85
0.55,0.7435,0.7247,0.0188,0.2565,0.9747,308,8,109
0.6,0.6729,0.6635,0.0094,0.3271,0.986,282,4,139
0.65,0.5812,0.5765,0.0047,0.4188,0.9919,245,2,178
0.7,0.4188,0.4165,0.0024,0.5812,0.9944,177,1,247
0.75,0.2235,0.2212,0.0024,0.7765,0.9895,94,1,330
0.8,0.0141,0.0141,0.0,0.9859,1.0,6,0,419
